,rownum,adult,budget,genres,production_companies,release_date,revenue,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross,production_history_gross,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_99,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
73,185,0,8.0,"[14, 27, 53]",[7405],1995-09-01,16.0,98.0,1.0,46900295948.0,6980987.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74,188,0,50000000.0,"[18, 36, 10749]","[915, 1504]",1995-10-13,10382407.0,135.0,14683921.0,25903161351.0,800189113.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75,190,0,45000000.0,[18],"[60, 183, 14723]",1995-09-22,20350754.0,128.0,352927224.0,115942459173.0,451899633.6666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,191,0,7000000.0,"[35, 18]",[14],1995-06-09,8349430.0,112.0,1.0,22006728910.0,403236796.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,193,0,35000000.0,"[878, 27, 28]",[8411],1995-07-07,113374103.0,108.0,1.0,522825114382.0,92138854.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
78,195,0,42000000.0,"[80, 18, 878, 53]",[574],1995-10-13,7959291.0,145.0,83531958.0,3536254932.0,898882412.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
79,197,0,14000000.0,[53],"[915, 1382, 10201]",1995-09-08,5780000.0,99.0,1.0,413186872019.0,621278297.3333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,201,0,60000000.0,"[28, 53]","[508, 6194, 17825, 21480, 63906]",1995-07-13,104324083.0,100.0,1.0,23588167557.0,1108875582.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
81,204,0,20000000.0,"[18, 10749]","[306, 2851]",1995-08-11,50012507.0,103.0,1.0,863804616.0,1796411436.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,205,0,175000000.0,"[12, 28]","[33, 1073, 1302, 6092]",1995-07-28,264218220.0,135.0,390798978.0,25609288186.0,1185197730.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,212,0,2500000.0,"[18, 10749]","[98, 6194]",1995-01-27,5535405.0,105.0,7993039.0,407019792548.0,2116946329.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,213,0,10000000.0,[35],[6365],1995-02-10,26488734.0,89.0,1.0,59963020849.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,215,0,21000000.0,"[35, 18]","[508, 644, 5358, 10104, 16192]",1995-02-03,23450000.0,115.0,1.0,1537335801.0,491748101.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,219,0,27000.0,[35],"[14, 16934]",1994-09-13,3151130.0,92.0,1.0,90300788046.0,194392506.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,220,0,25000000.0,"[10749, 18, 35]","[12, 70]",1994-10-01,22200000.0,97.0,1.0,552122263.0,516594724.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
88,221,0,55000000.0,"[18, 53, 80, 9648, 10749]","[6194, 11407]",1994-12-09,214015089.0,123.0,49114016.0,2303426068.0,2034495793.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
